Order Id,Company Id,Company Name,Date,Order Value,Converted
80EYLOKP9E762WKG,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,2/18/2017,4875,1
TLEXR1HZWTUTBHPB,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,7/30/2015,8425,0
839FKFW2LLX4LMBB,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,5/27/2016,4837,0
97OX39BGVMHODLJM,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,9/27/2018,343,0
5T4LGH4XGBWOD49Z,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,1/14/2016,983,0
041ORQM5OIHTIU6L,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,8/24/2014,4185,0
8QUW0UXQ3XHIL56W,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,6/9/2018,3186,0
6CE8ZDK832NZWJX5,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,3/1/2018,7634,0
DSG1EKQVYZD63WCS,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,1/4/2015,2900,0
YT796QI18WNGZ7ZJ,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,4/12/2014,5839,0
6YLROQT27B6HRF4E,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,7/28/2015,8841,0
WYDFDKHADZPNGLEY,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,3/6/2016,7044,0
5R53QASREK911LJV,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,8/26/2018,5173,0
0X57BF04C3X3OHHB,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,11/21/2015,1104,0
AT0R4DFYYAFOC88Q,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,7/21/2014,1883,0
KJ5BSZH04HH05GD6,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,6/2/2017,5176,1
YCC4FERSSE7IA31M,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,6/26/2018,4418,0
5WS2WEUKWONW9FFS,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,5/7/2018,376,0
CI0ML2FIU25S84QX,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,7/3/2016,8070,0
C0E1XGLTSP9563UZ,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,6/25/2014,409,0
2DDN2LHS7G85GKPQ,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,4/29/2014,202,0
DP79KUFXD9OF3SMI,LJKS5NK6788CYMUU,Chimera-Chasing Casbah,1/28/2017,8457,0
FM608JK1N01BPUQN,36MFTZOYMTAJP1RK,Tangential Sheds,5/8/2014,3762,1
CK331XXNIBQT81QL,36MFTZOYMTAJP1RK,Tangential Sheds,5/23/2015,7746,0
FESGKOQN2OZZWXY3,36MFTZOYMTAJP1RK,Tangential Sheds,1/10/2016,6011,1
YITOTLOF0MWZ0VYX,36MFTZOYMTAJP1RK,Tangential Sheds,10/3/2016,3462,1
7J1KCHZUP4EVKIYH,36MFTZOYMTAJP1RK,Tangential Sheds,3/9/2018,7292,0
8RIGCF74GUEQHQEE,36MFTZOYMTAJP1RK,Tangential Sheds,7/23/2018,3438,0
TH60C9D8TPYS7DGG,36MFTZOYMTAJP1RK,Tangential Sheds,12/15/2016,8783,1
A0NDUHF4PSNWXFK7,36MFTZOYMTAJP1RK,Tangential Sheds,7/19/2014,6306,0
W1Y086SRAVUZU1AL,36MFTZOYMTAJP1RK,Tangential Sheds,9/17/2017,7683,0
WKB58Q8BHLOFQAB5,36MFTZOYMTAJP1RK,Tangential Sheds,8/31/2016,5024,0
LMYSFA4HVRRTK8G2,36MFTZOYMTAJP1RK,Tangential Sheds,6/17/2016,8154,1
N8DOG58MW238BHA9,36MFTZOYMTAJP1RK,Tangential Sheds,12/25/2018,9009,0
J2NWE7JXWK3ZXREJ,36MFTZOYMTAJP1RK,Tangential Sheds,3/9/2015,9633,0
DPDV9UGF0SUCYTGW,36MFTZOYMTAJP1RK,Tangential Sheds,5/25/2017,7779,0
KNF3E3QTOQ22J269,36MFTZOYMTAJP1RK,Tangential Sheds,6/20/2018,6013,0
LEED1HY47M8BR5VL,36MFTZOYMTAJP1RK,Tangential Sheds,10/22/2017,327,0
5WKB125WA6MI7111,36MFTZOYMTAJP1RK,Tangential Sheds,11/9/2014,8994,0
90PHMOWKMWJMLY40,36MFTZOYMTAJP1RK,Tangential Sheds,8/6/2016,6920,0
LSJPNJQLDTIRNWAL,36MFTZOYMTAJP1RK,Tangential Sheds,1/27/2017,9880,0
9HAK7VSOZCZIFBZZ,36MFTZOYMTAJP1RK,Tangential Sheds,10/26/2014,6153,0
6UX5RMHJ1GK1F9YQ,H3JRC7XX7WJAD4ZO,Two-Mile Grab,8/24/2014,6645,1
5SYB15QEFWD1E4Q4,H3JRC7XX7WJAD4ZO,Two-Mile Grab,7/9/2017,2620,0
CM1LNRTBGYPBHUGD,H3JRC7XX7WJAD4ZO,Two-Mile Grab,8/4/2018,7815,0
1TRTXRM3HQ0338H5,H3JRC7XX7WJAD4ZO,Two-Mile Grab,9/6/2014,8817,0
W5S8VZ61WJONS4EE,H3JRC7XX7WJAD4ZO,Two-Mile Grab,3/25/2017,6362,0
795SVIJKO8KS3ZEL,H3JRC7XX7WJAD4ZO,Two-Mile Grab,1/5/2015,7534,1
8070KEFYSSPWPCD0,H3JRC7XX7WJAD4ZO,Two-Mile Grab,8/5/2014,1422,0
TE8BXQIYJNTUOBZ5,H3JRC7XX7WJAD4ZO,Two-Mile Grab,8/6/2016,1597,0
RUQOHROBGBOSNUO4,H3JRC7XX7WJAD4ZO,Two-Mile Grab,6/10/2016,6367,1
BHC1Q9ALNE6NEHOZ,H3JRC7XX7WJAD4ZO,Two-Mile Grab,6/25/2018,7428,0
1L1X099HZ77FC71E,H3JRC7XX7WJAD4ZO,Two-Mile Grab,9/28/2016,7553,1
6P91QRADC2O9WOVT,H3JRC7XX7WJAD4ZO,Two-Mile Grab,9/25/2016,8004,1
DLEAUXF0Y3B9WCLP,H3JRC7XX7WJAD4ZO,Two-Mile Grab,10/12/2016,3848,0
AV70ZTPG7WYIZBHM,H3JRC7XX7WJAD4ZO,Two-Mile Grab,1/30/2014,4141,1
QDFNZBV98WY6DTES,H3JRC7XX7WJAD4ZO,Two-Mile Grab,1/2/2018,6367,0
304ABUWAKLULJZZ5,H3JRC7XX7WJAD4ZO,Two-Mile Grab,9/25/2016,2638,0
N8DEX5RIZLY2TN9S,H3JRC7XX7WJAD4ZO,Two-Mile Grab,1/21/2018,4565,0
KW1BDZL123HHU4FH,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,3/15/2017,4398,0
C06H3L3ZMTPHZYE7,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,9/28/2014,989,0
S35Y2T41PETM02Z8,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,1/25/2015,5266,0
4P0WQVUN6E5EGYWK,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,6/12/2016,7196,1
W2DPUS8PKQAVW63O,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,8/15/2018,6207,0
F7RNUHMDYQS2OS3S,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,5/12/2016,4581,0
E2XFDVKEKUIWPXY9,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,2/9/2018,4938,0
BUP7RCDWVHJWMFQ8,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,10/20/2018,7355,0
FIF56JW8NB30A7H6,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,8/16/2015,6150,0
4TG5JOMX0NLJD63N,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,4/22/2014,8782,0
1SLO340LG6K3VM71,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,1/3/2015,8707,0
77V9JAZD90EU4YSS,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,4/13/2014,3229,0
4W2R0J2IM1I7A8NN,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,8/20/2015,4162,0
UPG6H94A6V1J1P4V,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,9/2/2017,9051,0
FZYBTOF3HIZG29DE,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,7/1/2016,5275,0
M990MB6AAZVNZ7L9,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,7/3/2014,4168,0
0VQEIQ6KSX6VZD08,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,11/24/2014,6634,1
EJG2RJHF1KWL9B8Q,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,8/23/2015,577,1
J39WX3H2JIWZB9CG,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,4/26/2018,776,0
96N69EAPPK0L5AZQ,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,8/24/2017,3879,0
H944X2A26P5INPIK,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,12/12/2016,5850,0
EDFLKG6HV4MA3R5V,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,6/17/2016,5070,0
CPCL6LVOZUKO5THR,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,2/19/2017,4645,0
9WQ7292N2B1KV69M,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,3/26/2018,5334,0
H0WAISJM9ZM951EF,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,1/8/2017,4543,0
BYUB69B9Y5IFJI2J,HB25MDZR0MGCQUGX,Three-Men-And-A-Helper Congo'S,6/10/2015,2317,0
1MNOUYD5H74PX8LK,7RVA8TIVBLBXMNO4,Biophysical Battleground,7/26/2015,7404,0
S1R4AUBCH6BFGM52,7RVA8TIVBLBXMNO4,Biophysical Battleground,8/19/2017,1259,0
6ODHUV6OBRPAUYTX,7RVA8TIVBLBXMNO4,Biophysical Battleground,7/11/2015,4801,0
AX56I4Q2LLODK7MW,7RVA8TIVBLBXMNO4,Biophysical Battleground,9/27/2017,2149,0
RWOML79PI4SYCW5Q,7RVA8TIVBLBXMNO4,Biophysical Battleground,4/7/2014,2767,0
31NXICAELIBWKM2F,7RVA8TIVBLBXMNO4,Biophysical Battleground,9/5/2018,6124,1
RSXZMEAFNS1PSTH8,7RVA8TIVBLBXMNO4,Biophysical Battleground,7/13/2016,8715,0
LZ3EU913X19TKE96,7RVA8TIVBLBXMNO4,Biophysical Battleground,11/4/2016,4039,0
CBF1PO08FZBGM1EI,7RVA8TIVBLBXMNO4,Biophysical Battleground,6/10/2014,7600,0
I7AGDMJYVJWSJHGC,7RVA8TIVBLBXMNO4,Biophysical Battleground,11/4/2016,1592,0
9IACXR9WYFFTJRTR,7RVA8TIVBLBXMNO4,Biophysical Battleground,9/17/2016,2766,0
6PB6DUI45YAXQW9A,7RVA8TIVBLBXMNO4,Biophysical Battleground,10/11/2018,4088,0
MLG5A3GGB5XBONG9,7RVA8TIVBLBXMNO4,Biophysical Battleground,6/26/2015,4293,0
TMF0O3LUSIFJWVN0,7RVA8TIVBLBXMNO4,Biophysical Battleground,11/12/2016,6491,0
V2XJAKMRT4YXPJR3,7RVA8TIVBLBXMNO4,Biophysical Battleground,5/12/2017,5955,0
ADQJB5JSQ1MHOS5F,7RVA8TIVBLBXMNO4,Biophysical Battleground,6/26/2015,1715,0
EAHUQC2IKV4LUXZC,7RVA8TIVBLBXMNO4,Biophysical Battleground,10/12/2017,8059,0
